Acid Green,65,86,75
Aero,206,47,91
Aero Blue,151,21,100
African Violet,288,31,75
Air Force Blue (RAF),204,45,66
Air Force Blue (USAF),220,100,56
Air Superiority Blue,205,41,76
Alabama Crimson,346,100,69
Alice Blue,208,6,100
Red Crimson,355,83,89
Alloy Orange,27,92,77
Almond,30,14,94
Amaranth,348,81,90
Amaranth Deep Purple,342,77,67
Amaranth Pink,338,35,95
Amaranth Purple,342,77,67
Amaranth Red,356,84,83
Amazon,147,52,48
Amber,45,100,100
Amber (SAE/ECE),30,100,100
American Rose,346,99,100
Amethyst,270,50,80
Android Green,74,71,78
Anti-Flash White,210,1,96
Antique Brass,22,43,80
Antique Bronze,53,71,40
Antique Fuchsia,316,37,57
Antique Ruby,350,80,52
Antique White,34,14,98
Ao (English),120,100,50
Apple Green,74,100,71
Apricot,24,29,98
Aqua,180,100,100
Aquamarine,160,50,100
Arctic Lime,72,92,100
Army Green,69,61,33
Arsenic,206,21,29
Artichoke,76,20,59
Arylide Yellow,51,54,91
Ash Grey,135,6,75
Asparagus,93,37,66
Atomic Tangerine,20,60,100
Auburn,0,75,65
Aureolin,56,100,99
AuroMetalSaurus,183,14,50
Avocado,81,98,51
Azure,210,100,100
Azure (Web Color),180,6,100
Azure Mist,180,6,100
Azureish White,206,10,96
Baby Blue,199,43,94
Baby Blue Eyes,209,33,95
Baby Pink,0,20,96
Baby Powder,60,2,100
Baker-Miller Pink,344,43,100
Ball Blue,192,84,80
Banana Mania,43,28,98
Banana Yellow,51,79,100
Bangladesh Green,164,100,42
Barbie Pink,327,85,88
Barn Red,4,98,49
Battleship Grey,60,2,52
Bazaar,353,22,60
Beau Blue,206,18,90
Beaver,22,30,62
Beige,60,10,96
B'dazzled Blue,215,69,58
Big Dip O’ruby,345,76,61
Bisque,33,23,100
Bistre,24,49,24
Bistre Brown,43,85,59
Bitter Lemon,66,94,88
Bitter Lime,75,100,100
Bittersweet,6,63,100
Bittersweet Shimmer,359,59,75
Black,—,0,0
Black Bean,10,97,24
Black Leather Jacket,135,30,21
Black Olive,70,10,24
Blanched Almond,36,20,100
Blast-Off Bronze,12,39,65
Bleu De France,210,79,91
Blizzard Blue,188,28,93
Blond,50,24,98
Blue,240,100,100
Blue (Crayola),217,88,100
Blue (Munsell),190,100,69
Blue (NCS),197,100,74
Blue (Pantone),231,100,66
Blue (Pigment),240,67,60
Blue (RYB),224,99,100
Blue Bell,240,22,82
Blue-Gray,210,50,80
Blue-Green,192,93,73
Blue Lagoon,193,41,63
Blue-Magenta Violet,261,64,57
Blue Sapphire,197,86,50
Blue-Violet,271,81,89
Blue Yonder,217,52,65
Blueberry,220,68,97
Bluebonnet,240,88,94
Blush,342,58,87
Bole,9,51,47
Bondi Blue,191,100,71
Bone,39,11,89
Boston University Red,0,100,80
Bottle Green,164,100,42
Boysenberry,328,63,53
Brandeis Blue,214,100,100
Brass,52,64,71
Brick Red,352,68,80
Bright Cerulean,194,86,84
Bright Green,96,100,100
Bright Lavender,272,35,89
Bright Lilac,285,39,94
Bright Maroon,346,83,76
Bright Navy Blue,210,88,82
Bright Pink,330,100,100
Bright Turquoise,177,97,91
Bright Ube,281,31,91
Brilliant Azure,210,80,100
Brilliant Lavender,290,27,100
Brilliant Rose,332,67,100
Brink Pink,348,62,98
British Racing Green,154,100,26
Bronze,30,76,80
Bronze Yellow,58,100,45
Brown (Traditional),30,100,59
Brown (Web),0,75,65
Brown-Nose,28,67,42
Brown Yellow,30,50,80
Brunswick Green,162,65,30
Bubble Gum,349,24,100
Bubbles,183,9,100
Buff,49,46,94
Bud Green,102,47,71
Bulgarian Rose,359,92,28
